symbol,rows,start_date,end_date,avg_volume,min_close,max_close
TBL,594,2023-12-15,2026-05-08,3314174.4,8.05,59.46
TELE,2467,2016-05-11,2026-05-08,6104410.14,0.75,24.36
THCCL,2440,2016-05-11,2026-05-08,930705.56,6.07,228.35
TOMCL,1430,2020-08-03,2026-05-08,2098740.33,18.33,72.88
TPL,2471,2016-05-11,2026-05-08,2547001.75,2.83,25.99
TPLP,1932,2018-01-11,2026-05-08,5251880.88,3.5,67.8
TSBL,1040,2016-05-11,2026-05-08,1183545.09,1.38,63.22
UBL,2473,2016-05-11,2026-05-08,1394050.0,89.44,552.11
UNITY,2123,2017-10-05,2026-05-08,8731300.45,7.62,188.66
WASL,2326,2016-05-11,2026-05-08,682095.57,0.72,8.8
WAVES,2474,2016-05-11,2026-05-08,1867195.1,6.0,80.87
WAVESAPP,2134,2016-05-11,2026-05-08,1284957.51,2.01,17.3
WTL,2467,2016-05-11,2026-05-08,25978313.83,0.55,4.25
YOUW,2429,2016-05-11,2026-05-08,1590405.8,1.31,11.49
ZAL,297,2025-02-28,2026-05-08,2084638.5,13.96,72.3
