symbol,price,timestamp
786,27.68,2026-05-18T00:14:21.520719
786,27.68,2026-05-18T00:14:21.524715
786,27.68,2026-05-18T00:14:21.531718
786R,2.47,2026-05-18T00:14:21.536718
786R,2.47,2026-05-18T00:14:21.542718
786R,2.47,2026-05-18T00:14:21.550720
AABS,910.21,2026-05-18T00:14:21.548718
AABS,910.21,2026-05-18T00:14:21.560721
AABS,910.21,2026-05-18T00:14:21.565723
AABS,910.21,2026-05-18T00:16:08.690075
AABS,910.21,2026-05-18T00:16:10.348656
AABS,910.21,2026-05-18T00:16:11.293166
AABS,910.21,2026-05-18T00:16:12.139548
AABS,910.21,2026-05-18T00:16:12.856925
AABS,910.21,2026-05-18T00:16:13.490448
AABS,910.21,2026-05-18T00:16:13.989089
AABS,910.21,2026-05-18T00:16:14.400701
AABS,910.21,2026-05-18T00:16:14.761932
AABS,910.21,2026-05-18T00:16:15.155560
AABS,910.21,2026-05-18T00:16:15.564969
AABS,910.21,2026-05-18T00:16:15.963036
AABS,910.21,2026-05-18T00:16:16.743847
AATM,54.51,2026-05-18T00:14:21.592723
AATM,54.51,2026-05-18T00:14:21.601724
AATM,54.51,2026-05-18T00:14:21.602727
ABL,178.99,2026-05-18T00:14:21.606725
ABL,178.99,2026-05-18T00:14:21.621729
ABL,178.99,2026-05-18T00:14:21.624732
ABOT,874.12,2026-05-18T00:14:21.622726
ABOT,874.12,2026-05-18T00:14:21.636727
ABOT,874.12,2026-05-18T00:14:21.639730
ACPL,226.29,2026-05-18T00:14:21.663730
ACPL,226.29,2026-05-18T00:14:21.675732
ACPL,226.29,2026-05-18T00:14:21.676734
ADAMS,73.94,2026-05-18T00:14:21.681734
ADAMS,73.94,2026-05-18T00:14:21.693740
ADAMS,73.94,2026-05-18T00:14:21.698738
ADMM,74.02,2026-05-18T00:14:21.699736
ADMM,74.02,2026-05-18T00:14:21.722738
ADMM,74.02,2026-05-18T00:14:21.723738
ADOS,29.0,2026-05-18T00:14:21.726031
ADOS,29.0,2026-05-18T00:14:21.742497
ADOS,29.0,2026-05-18T00:14:21.748501
ADTM,8.9,2026-05-18T00:14:21.745499
ADTM,8.9,2026-05-18T00:14:21.765502
ADTM,8.9,2026-05-18T00:14:21.774501
AEL,33.68,2026-05-18T00:14:21.769503
AEL,33.68,2026-05-18T00:14:21.784502
AEL,33.68,2026-05-18T00:14:21.793502
AGHA,8.26,2026-05-18T00:14:21.791501
AGHA,8.26,2026-05-18T00:14:21.805501
AGHA,8.26,2026-05-18T00:14:21.810505
AGIC,36.84,2026-05-18T00:14:21.808504
AGIC,36.84,2026-05-18T00:14:21.825509
AGIC,36.84,2026-05-18T00:14:21.828505
AGICR2,5.92,2026-05-18T00:14:21.835509
AGICR2,5.92,2026-05-18T00:14:21.843507
AGICR2,5.92,2026-05-18T00:14:21.847507
AGIL,166.96,2026-05-18T00:14:21.852509
AGIL,166.96,2026-05-18T00:14:21.860511
AGIL,166.96,2026-05-18T00:14:21.869511
AGL,46.53,2026-05-18T00:14:21.870514
AGL,46.53,2026-05-18T00:14:21.879511
AGL,46.53,2026-05-18T00:14:21.888512
AGP,179.75,2026-05-18T00:14:21.907513
AGP,179.75,2026-05-18T00:14:21.913517
AGP,179.75,2026-05-18T00:14:21.918518
AGSML,10.67,2026-05-18T00:14:21.926518
AGSML,10.67,2026-05-18T00:14:21.932519
AGSML,10.67,2026-05-18T00:14:21.934517
AGTL,355.28,2026-05-18T00:14:21.947521
AGTL,355.28,2026-05-18T00:14:21.954519
AGTL,355.28,2026-05-18T00:14:21.955522
AHCL,14.23,2026-05-18T00:14:21.970521
AHCL,14.23,2026-05-18T00:14:21.971523
AHCL,14.23,2026-05-18T00:14:21.974523
AHL,105.67,2026-05-18T00:14:21.991524
AHL,105.67,2026-05-18T00:14:21.996528
AHL,105.67,2026-05-18T00:14:22.001528
AHTM,77.0,2026-05-18T00:14:22.026529
AHTM,77.0,2026-05-18T00:14:22.029529
AHTM,77.0,2026-05-18T00:14:22.037532
AICL,75.35,2026-05-18T00:14:22.051532
AICL,75.35,2026-05-18T00:14:22.054535
AICL,75.35,2026-05-18T00:14:22.062535
AIRLINK,147.53,2026-05-18T00:14:22.077538
AIRLINK,147.53,2026-05-18T00:14:22.079535
AIRLINK,147.53,2026-05-18T00:14:22.089536
AKDCL,392.0,2026-05-18T00:14:22.145547
AKDCL,392.0,2026-05-18T00:14:22.153547
AKDCL,392.0,2026-05-18T00:14:22.168548
AKDHL,159.87,2026-05-18T00:14:22.165546
AKDHL,159.87,2026-05-18T00:14:22.179544
AKDHL,159.87,2026-05-18T00:14:22.196548
AKDSL,34.34,2026-05-18T00:14:22.198551
AKDSL,34.34,2026-05-18T00:14:22.214552
AKDSL,34.34,2026-05-18T00:14:22.231555
AKGL,55.6,2026-05-18T00:14:22.243553
AKGL,55.6,2026-05-18T00:14:22.248554
AKGL,55.6,2026-05-18T00:14:22.260557
AKZO,270.0,2026-05-18T00:14:22.272555
AKZO,270.0,2026-05-18T00:14:22.278558
AKZO,270.0,2026-05-18T00:14:22.292560
ALAC,16.21,2026-05-18T00:14:22.300559
ALAC,16.21,2026-05-18T00:14:22.310559
ALAC,16.21,2026-05-18T00:14:22.316561
ALIFE,32.5,2026-05-18T00:14:22.332568
ALIFE,32.5,2026-05-18T00:14:22.342562
ALIFE,32.5,2026-05-18T00:14:22.346565
ALNRS,118.91,2026-05-18T00:14:22.365568
ALNRS,118.91,2026-05-18T00:14:22.372566
ALNRS,118.91,2026-05-18T00:14:22.373567
ALQT,85.0,2026-05-18T00:14:22.388567
ALQT,85.0,2026-05-18T00:14:22.393566
ALQT,85.0,2026-05-18T00:14:22.395570
ALTN,8.49,2026-05-18T00:14:22.415571
ALTN,8.49,2026-05-18T00:14:22.417571
ALTN,8.49,2026-05-18T00:14:22.424572
AMBL,23.72,2026-05-18T00:14:22.438573
AMBL,23.72,2026-05-18T00:14:22.446576
AMBL,23.72,2026-05-18T00:14:22.447576
ANL,10.28,2026-05-18T00:14:22.498579
ANL,10.28,2026-05-18T00:14:22.499579
ANL,10.28,2026-05-18T00:14:22.508584
ANSM,13.0,2026-05-18T00:14:22.538585
ANSM,13.0,2026-05-18T00:14:22.538585
ANSM,13.0,2026-05-18T00:14:22.539587
ANTM,27.4,2026-05-18T00:14:22.565589
ANTM,27.4,2026-05-18T00:14:22.565589
ANTM,27.4,2026-05-18T00:14:22.566590
APL,564.29,2026-05-18T00:14:22.587591
APL,564.29,2026-05-18T00:14:22.589593
APL,564.29,2026-05-18T00:14:22.601594
AQTM,1.31,2026-05-18T00:14:22.643599
AQTM,1.31,2026-05-18T00:14:22.656615
ARCTM,27.99,2026-05-18T00:14:22.681602
