date,open,high,low,close,volume,is_anomaly,symbol
2026-05-08,530.0,537.0,528.0,532.94,1476906,False,FFC
2026-05-07,532.99,538.0,529.65,535.76,2001619,False,FFC
2026-05-06,525.0,531.0,519.25,529.45,2326805,False,FFC
2026-05-05,506.0,516.5,505.1,515.42,1790744,False,FFC
2026-05-04,510.0,521.2,506.0,509.16,1742261,False,FFC
2026-04-30,511.0,512.0,500.2,504.27,1488508,False,FFC
2026-04-29,517.0,522.0,511.5,513.52,1681916,False,FFC
2026-04-28,520.0,524.0,515.5,517.02,910076,False,FFC
2026-04-27,524.24,531.99,520.03,524.89,777862,False,FFC
2026-04-24,522.0,533.0,516.11,524.75,959101,False,FFC
2026-04-23,531.94,531.94,521.5,523.76,996250,False,FFC
2026-04-22,531.0,537.0,526.0,532.35,1110391,False,FFC
2026-04-21,534.0,536.39,530.0,530.95,1045051,False,FFC
2026-04-20,536.06,538.25,528.0,529.59,2338629,False,FFC
2026-04-17,541.0,542.5,537.91,539.38,3383605,False,FFC
2026-04-16,540.49,544.98,537.0,539.86,1169325,False,FFC
2026-04-15,536.0,549.45,535.0,536.67,3062153,False,FFC
2026-04-14,525.0,530.0,522.0,526.69,1048345,False,FFC
2026-04-13,517.0,525.0,512.0,514.08,2091089,False,FFC
2026-04-10,537.0,545.5,535.0,537.53,2231555,False,FFC
2026-04-09,543.0,543.49,519.99,536.22,3089771,False,FFC
2026-04-08,536.0,541.49,525.55,541.49,4974951,False,FFC
2026-04-07,489.0,494.75,484.0,492.26,1825835,False,FFC
2026-04-06,486.0,490.8,479.99,489.22,2008067,False,FFC
2026-04-03,483.36,489.9,477.0,486.1,994140,False,FFC
2026-04-02,490.77,494.0,483.01,491.16,1022403,False,FFC
2026-04-01,491.25,508.45,491.25,499.77,3192388,False,FFC
2026-03-31,485.11,494.4,482.01,485.73,2309803,False,FFC
2026-03-30,498.0,499.74,481.01,483.74,1990759,False,FFC
2026-03-27,500.0,506.45,496.0,498.44,2385620,False,FFC
2026-03-26,509.98,511.98,496.0,498.63,1894019,False,FFC
2026-03-25,506.1,514.9,504.0,513.19,2432358,False,FFC
2026-03-24,525.0,525.0,498.5,502.25,2374727,False,FFC
2026-03-19,488.0,499.0,477.0,493.96,2193855,False,FFC
2026-03-18,483.4,495.99,479.0,493.61,1422072,False,FFC
2026-03-17,487.0,495.0,473.0,481.36,1886653,False,FFC
2026-03-16,501.02,501.2,473.0,480.94,1184612,False,FFC
2026-03-13,503.99,505.0,496.0,501.02,1025062,False,FFC
2026-03-12,500.0,514.27,500.0,504.79,2305733,False,FFC
2026-03-11,506.1,517.98,506.1,507.56,1068523,False,FFC
2026-03-10,500.0,518.0,498.0,509.94,2261379,False,FFC
2026-03-09,498.0,498.0,470.06,471.4,6139627,False,FFC
2026-03-06,532.0,534.0,516.0,522.29,1263260,False,FFC
2026-03-05,525.0,545.0,525.0,540.36,2591944,False,FFC
2026-03-04,525.0,532.0,516.05,525.0,2820087,False,FFC
2026-03-03,497.5,547.24,497.5,526.53,4224327,False,FFC
2026-03-02,497.34,530.0,497.34,497.5,5316323,False,FFC
2026-02-27,553.0,561.0,540.0,552.6,1444677,False,FFC
2026-02-26,532.0,572.0,525.0,555.88,2252885,False,FFC
2026-02-25,534.0,539.0,530.0,531.79,1611639,False,FFC
2026-02-24,541.3,545.99,521.55,534.04,2140937,False,FFC
2026-02-23,555.5,561.5,530.1,541.08,1120583,False,FFC
2026-02-20,555.03,560.0,549.0,555.74,1033649,False,FFC
2026-02-19,574.5,574.5,521.0,553.1,1431956,False,FFC
2026-02-18,565.51,575.0,558.88,571.73,2034292,False,FFC
2026-02-17,570.0,573.0,556.98,565.51,1854274,False,FFC
2026-02-16,579.6,581.0,565.0,569.38,2540401,False,FFC
2026-02-13,580.0,581.9,574.0,579.58,1556166,False,FFC
2026-02-12,577.99,584.88,569.2,580.54,1960264,False,FFC
2026-02-11,580.0,585.0,576.11,577.68,1032204,False,FFC
2026-02-10,577.0,581.49,574.5,578.67,1152696,False,FFC
2026-02-09,580.0,584.0,565.0,575.59,1775118,False,FFC
2026-02-06,590.44,590.44,574.6,576.77,2569225,False,FFC
2026-02-04,592.0,594.0,587.0,590.04,1502927,False,FFC
2026-02-03,581.9,594.0,580.58,590.05,4113507,False,FFC
2026-02-02,590.0,592.0,572.0,580.58,3809888,False,FFC
2026-01-30,597.1,600.0,575.02,588.57,8150395,False,FFC
2026-01-29,665.0,677.0,596.62,597.1,21286706,False,FFC
2026-01-28,676.0,679.0,657.41,662.91,6148225,False,FFC
2026-01-27,651.89,684.89,643.0,673.16,9142429,False,FFC
2026-01-26,665.05,685.0,649.0,652.25,12628028,False,FFC
2026-01-23,600.0,658.28,596.0,650.82,13093752,False,FFC
2026-01-22,600.0,603.0,596.18,598.44,1445914,False,FFC
2026-01-21,602.0,605.0,596.12,599.2,2798823,False,FFC
2026-01-20,600.0,602.0,595.0,599.86,1467232,False,FFC
2026-01-19,595.5,604.0,595.0,599.13,2043751,False,FFC
2026-01-16,588.25,594.5,586.77,593.12,1842666,False,FFC
2026-01-15,588.7,589.9,581.03,586.73,1396240,False,FFC
2026-01-14,591.0,594.0,583.95,586.0,2395990,False,FFC
2026-01-13,595.32,598.99,585.99,591.64,2397561,False,FFC
2026-01-12,597.99,599.4,594.5,595.32,1344535,False,FFC
2026-01-09,598.99,606.0,596.75,599.44,3556030,False,FFC
2026-01-08,596.0,605.5,595.0,596.91,7096938,False,FFC
2026-01-07,604.61,606.49,593.5,594.57,7004933,False,FFC
2026-01-06,604.8,610.99,600.0,601.52,4332251,False,FFC
2026-01-05,595.91,608.5,595.91,602.03,2807134,False,FFC
2026-01-02,592.99,603.5,591.0,595.91,1938546,False,FFC
2026-01-01,591.99,597.0,590.01,591.51,1249483,False,FFC
2025-12-31,597.43,600.0,588.0,590.71,1663489,False,FFC
2025-12-30,602.49,604.9,593.22,596.4,2085783,False,FFC
2025-12-29,592.2,614.9,592.2,601.47,5105482,False,FFC
2025-12-26,585.0,589.9,584.0,585.25,1203244,False,FFC
2025-12-24,587.16,589.0,581.0,583.01,939677,False,FFC
2025-12-23,585.0,585.03,579.45,580.18,714823,False,FFC
2025-12-22,586.0,588.88,580.0,583.02,1078977,False,FFC
2025-12-19,592.0,594.0,583.01,585.0,1543331,False,FFC
2025-12-18,577.5,594.0,571.4,588.99,3917911,False,FFC
2025-12-17,579.01,583.0,570.89,575.22,3069421,False,FFC
2025-12-16,585.49,585.49,576.27,577.6,1714865,False,FFC
2025-12-15,587.0,588.99,582.5,583.79,1107217,False,FFC
2025-12-12,574.14,587.0,570.0,584.94,2156839,False,FFC
2025-12-11,578.25,580.86,570.7,572.16,1644729,False,FFC
2025-12-10,586.0,591.0,578.0,580.16,1575523,False,FFC
2025-12-09,589.87,594.1,583.0,586.64,2160163,False,FFC
2025-12-08,569.99,590.0,565.91,579.96,21031396,False,FFC
2025-12-05,567.01,569.0,556.0,567.45,3436193,False,FFC
2025-12-04,568.0,571.8,559.0,561.42,1560313,False,FFC
2025-12-03,582.0,582.0,565.01,566.28,3757579,False,FFC
2025-12-02,586.5,592.0,578.0,580.08,2118929,False,FFC
2025-12-01,589.99,589.99,582.0,585.67,1202893,False,FFC
2025-11-28,594.1,597.84,584.02,586.18,2209831,False,FFC
2025-11-27,590.0,599.0,584.0,593.11,2747356,False,FFC
2025-11-26,574.0,592.0,572.3,589.43,3794944,False,FFC
2025-11-25,568.68,575.85,566.35,571.13,2112989,False,FFC
2025-11-24,556.8,569.99,551.0,565.56,3571848,False,FFC
2025-11-21,561.0,565.05,556.01,557.37,1138827,False,FFC
2025-11-20,570.0,586.0,564.5,565.75,4861261,False,FFC
