date,open,high,low,close,volume,is_anomaly,symbol
2026-05-08,442.0,448.97,438.0,445.73,1727932,False,LUCK
2026-05-07,445.25,457.0,436.0,449.6,3840933,False,LUCK
2026-05-06,420.1,444.0,418.11,439.61,5101180,False,LUCK
2026-05-05,405.0,411.9,405.0,409.1,964827,False,LUCK
2026-05-04,411.0,425.0,406.81,411.18,1757797,False,LUCK
2026-04-30,413.94,413.94,400.51,407.99,2247520,False,LUCK
2026-04-29,418.01,425.9,410.5,418.41,1767142,False,LUCK
2026-04-28,417.99,421.0,415.0,418.64,881743,False,LUCK
2026-04-27,430.0,434.0,420.0,422.88,990168,False,LUCK
2026-04-24,422.27,435.0,415.0,430.25,1386253,False,LUCK
2026-04-23,430.0,433.99,420.55,425.8,1051797,False,LUCK
2026-04-22,441.0,442.97,429.05,431.12,1376109,False,LUCK
2026-04-21,448.0,448.0,438.5,441.02,1632822,False,LUCK
2026-04-20,445.0,445.0,430.1,440.86,3733292,False,LUCK
2026-04-17,438.01,451.95,437.01,449.37,3389829,False,LUCK
2026-04-16,439.99,444.0,430.15,435.5,2920671,False,LUCK
2026-04-15,455.0,458.44,433.99,435.77,5435632,False,LUCK
2026-04-14,425.0,438.0,420.0,434.36,4056475,False,LUCK
2026-04-13,415.0,425.0,407.0,410.06,3601011,False,LUCK
2026-04-10,431.11,447.8,431.11,435.76,3957795,False,LUCK
2026-04-09,439.8,439.8,402.0,429.97,7125029,False,LUCK
2026-04-08,420.33,420.33,420.33,420.33,858501,False,LUCK
2026-04-07,372.0,385.0,370.0,382.12,2395447,False,LUCK
2026-04-06,370.5,382.56,361.36,379.26,3261316,False,LUCK
2026-04-03,370.0,377.0,369.0,371.17,1461592,False,LUCK
2026-04-02,376.0,383.44,370.0,378.75,2852587,False,LUCK
2026-04-01,368.0,392.55,368.0,389.58,6249051,False,LUCK
2026-03-31,355.0,364.0,350.52,356.86,1986599,False,LUCK
2026-03-30,362.3,364.0,339.0,345.09,2657018,False,LUCK
2026-03-27,366.15,373.0,360.0,362.3,1987580,False,LUCK
2026-03-26,383.97,383.97,363.0,366.56,3312882,False,LUCK
2026-03-25,370.23,389.25,368.11,384.99,4696288,False,LUCK
2026-03-24,379.68,379.68,358.0,365.22,4346775,False,LUCK
2026-03-19,350.03,358.52,344.0,354.85,2716650,False,LUCK
2026-03-18,349.99,363.5,343.97,356.53,2708443,False,LUCK
