model_name,accuracy,precision,recall,f1
Logistic Regression,0.4771077093835268,0.44731542389311,0.4771077093835268,0.3510403346435249
Random Forest,0.4847615964482264,0.4366514474000368,0.4847615964482264,0.3883890548296528
